date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,vol
2010-06-29,23.89,25.0,17.54,19.0,18766300,23.89,25.0,17.54,19.0,18766300,0.0,1.0,1
2010-06-30,23.83,30.4192,23.3,25.79,17187100,23.83,30.4192,23.3,25.79,17187100,0.0,1.0,1
2010-07-01,21.96,25.92,20.27,25.0,8218800,21.96,25.92,20.27,25.0,8218800,0.0,1.0,1
2010-07-02,19.2,23.1,18.71,23.0,5139800,19.2,23.1,18.71,23.0,5139800,0.0,1.0,1
2010-07-06,16.11,20.0,15.83,20.0,6866900,16.11,20.0,15.83,20.0,6866900,0.0,1.0,1
2010-07-07,15.8,16.63,14.98,16.4,6921700,15.8,16.63,14.98,16.4,6921700,0.0,1.0,1
2010-07-08,17.46,17.52,15.57,16.14,7711400,17.46,17.52,15.57,16.14,7711400,0.0,1.0,1
2010-07-09,17.4,17.9,16.55,17.58,4050600,17.4,17.9,16.55,17.58,4050600,0.0,1.0,0
2010-07-12,17.05,18.07,17.0,17.95,2202500,17.05,18.07,17.0,17.95,2202500,0.0,1.0,1
2010-07-13,18.14,18.64,16.9,17.3938,2680100,18.14,18.64,16.9,17.3938,2680100,0.0,1.0,1
2010-07-14,19.84,20.15,17.7601,17.94,4195200,19.84,20.15,17.7601,17.94,4195200,0.0,1.0,1
2010-07-15,19.89,21.5,19.0,19.94,3739800,19.89,21.5,19.0,19.94,3739800,0.0,1.0,0
2010-07-16,20.64,21.3,20.05,20.7,2621300,20.64,21.3,20.05,20.7,2621300,0.0,1.0,0
2010-07-19,21.91,22.25,20.92,21.37,2486500,21.91,22.25,20.92,21.37,2486500,0.0,1.0,0
2010-07-20,20.3,21.85,20.05,21.85,1825300,20.3,21.85,20.05,21.85,1825300,0.0,1.0,1
2010-07-21,20.22,20.9,19.5,20.66,1252500,20.22,20.9,19.5,20.66,1252500,0.0,1.0,0
2010-07-22,21.0,21.25,20.37,20.5,957800,21.0,21.25,20.37,20.5,957800,0.0,1.0,0
2010-07-23,21.29,21.56,21.06,21.19,653600,21.29,21.56,21.06,21.19,653600,0.0,1.0,0
2010-07-26,20.95,21.5,20.3,21.5,922200,20.95,21.5,20.3,21.5,922200,0.0,1.0,0
2010-07-27,20.55,21.18,20.26,20.91,619700,20.55,21.18,20.26,20.91,619700,0.0,1.0,0
2010-07-28,20.72,20.9,20.51,20.55,467200,20.72,20.9,20.51,20.55,467200,0.0,1.0,0
2010-07-29,20.35,20.88,20.0,20.77,616000,20.35,20.88,20.0,20.77,616000,0.0,1.0,0
2010-07-30,19.94,20.44,19.55,20.2,426900,19.94,20.44,19.55,20.2,426900,0.0,1.0,0
2010-08-02,20.92,20.97,20.333,20.5,718100,20.92,20.97,20.333,20.5,718100,0.0,1.0,0
2010-08-03,21.95,21.95,20.82,21.0,1230500,21.95,21.95,20.82,21.0,1230500,0.0,1.0,1
2010-08-04,21.26,22.18,20.85,21.95,913000,21.26,22.18,20.85,21.95,913000,0.0,1.0,1
2010-08-05,20.45,21.55,20.05,21.54,796200,20.45,21.55,20.05,21.54,796200,0.0,1.0,1
